date,open,high,low,close,volume
2020-02-17 13:25:00,,,,,
2020-02-17 13:26:00,,,,,
2020-02-17 13:27:00,,,,,
2020-02-17 13:28:00,,,,,
2020-02-17 13:29:00,,,,,
2020-02-17 13:30:00,,,,,
2020-02-17 13:31:00,,,,,
2020-02-17 13:32:00,,,,,
2020-02-17 13:33:00,,,,,
2020-02-17 13:34:00,,,,,
2020-02-17 13:35:00,,,,,
2020-02-17 13:36:00,,,,,
2020-02-17 13:37:00,,,,,
2020-02-17 13:38:00,,,,,
2020-02-17 13:39:00,,,,,
2020-02-17 13:40:00,,,,,
2020-02-17 13:41:00,116.0,116.0,116.0,116.0,1698.0
2020-02-17 13:42:00,,,,,
2020-02-17 13:43:00,,,,,
2020-02-17 13:44:00,,,,,
2020-02-17 13:45:00,,,,,
2020-02-17 13:46:00,,,,,
2020-02-17 13:47:00,,,,,
2020-02-17 13:48:00,,,,,
2020-02-17 13:49:00,,,,,
2020-02-17 13:50:00,,,,,
2020-02-17 13:51:00,,,,,
2020-02-17 13:52:00,,,,,
2020-02-17 13:53:00,,,,,
2020-02-17 13:54:00,,,,,
2020-02-17 13:55:00,116.0,116.0,116.0,116.0,246.0
2020-02-17 13:56:00,,,,,
2020-02-17 13:57:00,,,,,
2020-02-17 13:58:00,,,,,
2020-02-17 13:59:00,,,,,
2020-02-17 14:00:00,116.0,116.0,116.0,116.0,293.0
2020-02-17 14:01:00,,,,,
2020-02-17 14:02:00,,,,,
2020-02-17 14:03:00,,,,,
2020-02-17 14:04:00,,,,,
2020-02-17 14:05:00,116.0,116.0,116.0,116.0,118.0
2020-02-17 14:06:00,116.0,116.0,116.0,116.0,1541.0
2020-02-17 14:07:00,,,,,
2020-02-17 14:08:00,,,,,
2020-02-17 14:09:00,,,,,
2020-02-17 14:10:00,,,,,
2020-02-17 14:11:00,,,,,
2020-02-17 14:12:00,,,,,
2020-02-17 14:13:00,,,,,
2020-02-17 14:14:00,,,,,
2020-02-17 14:15:00,,,,,
2020-02-17 14:16:00,,,,,
2020-02-17 14:17:00,,,,,
2020-02-17 14:18:00,,,,,
2020-02-17 14:19:00,,,,,
2020-02-17 14:20:00,,,,,
2020-02-17 14:21:00,,,,,
2020-02-17 14:22:00,,,,,
2020-02-17 14:23:00,,,,,
2020-02-17 14:24:00,,,,,
2020-02-17 14:25:00,,,,,
2020-02-17 14:26:00,,,,,
2020-02-17 14:27:00,,,,,
2020-02-17 14:28:00,,,,,
2020-02-17 14:29:00,,,,,
2020-02-17 14:30:00,,,,,
2020-02-17 14:31:00,116.0,116.0,116.0,116.0,404.0
2020-02-17 14:32:00,,,,,
2020-02-17 14:33:00,,,,,
2020-02-17 14:34:00,,,,,
2020-02-17 14:35:00,,,,,
2020-02-17 14:36:00,,,,,
2020-02-17 14:37:00,,,,,
2020-02-17 14:38:00,,,,,
2020-02-17 14:39:00,,,,,
2020-02-17 14:40:00,,,,,
2020-02-17 14:41:00,,,,,
2020-02-17 14:42:00,,,,,
2020-02-17 14:43:00,116.0,116.0,116.0,116.0,2778.0
2020-02-17 14:44:00,,,,,
2020-02-17 14:45:00,,,,,
2020-02-17 14:46:00,,,,,
2020-02-17 14:47:00,,,,,
2020-02-17 14:48:00,,,,,
2020-02-17 14:49:00,,,,,
2020-02-17 14:50:00,,,,,
2020-02-17 14:51:00,116.0,116.0,116.0,116.0,639.0
2020-02-17 14:52:00,,,,,
2020-02-17 14:53:00,116.19999694824219,116.19999694824219,116.19999694824219,116.19999694824219,283.0
2020-02-17 14:54:00,,,,,
2020-02-17 14:55:00,,,,,
2020-02-17 14:56:00,,,,,
2020-02-17 14:57:00,,,,,
2020-02-17 14:58:00,116.5,116.5,116.5,116.5,131.0
2020-02-17 14:59:00,116.19999694824219,116.19999694824219,116.11000061035156,116.11000061035156,3060.0
